1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,5,1,6,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,3,2,2,2,2,2,2,2,2,4,0,0,0,1
1,0,0,0,0,0,0,5,1,1,1,1,1,1,6,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,3,2,2,2,2,2,2,2,2,4,0,0,0,0,0,0,0,1
1,0,0,5,1,1,1,1,1,1,6,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,3,2,2,2,2,2,2,2,2,2,2,2,4,0,1
1,0,0,0,0,0,5,1,1,1,1,1,1,1,1,1,6,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,3,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
